iter	Passed	Remaining
588	5318	3710
589	5328	3702
590	5337	3694
591	5345	3684
592	5354	3674
593	5362	3665
594	5372	3657
595	5382	3648
596	5391	3639
597	5400	3630
598	5409	3621
599	5419	3612
600	5428	3603
601	5438	3595
602	5447	3586
603	5456	3577
604	5464	3567
605	5473	3558
606	5481	3549
607	5490	3539
608	5500	3531
609	5510	3523
610	5519	3513
611	5529	3505
612	5539	3497
613	5548	3487
614	5558	3479
615	5567	3470
616	5575	3461
617	5585	3452
618	5594	3443
619	5603	3434
620	5611	3424
621	5619	3414
622	5627	3405
623	5637	3396
624	5646	3387
625	5655	3379
626	5664	3369
627	5673	3360
628	5683	3351
629	5691	3342
630	5698	3332
631	5708	3324
632	5717	3315
633	5727	3306
634	5735	3296
635	5744	3287
636	5752	3278
637	5762	3269
638	5772	3261
639	5782	3252
640	5791	3243
641	5800	3234
642	5810	3225
643	5820	3217
644	5828	3208
645	5837	3199
646	5845	3189
647	5854	3180
648	5862	3170
649	5870	3161
650	5879	3152
651	5887	3142
652	5896	3133
653	5904	3124
654	5913	3114
655	5922	3105
656	5931	3096
657	5941	3088
658	5952	3080
659	5961	3071
660	5970	3062
661	5979	3052
662	5988	3043
663	5997	3034
664	6006	3025
665	6014	3016
666	6025	3008
667	6033	2998
668	6042	2989
669	6050	2980
670	6060	2971
671	6071	2963
672	6080	2954
673	6088	2945
674	6096	2935
675	6106	2926
676	6117	2918
677	6126	2909
678	6135	2900
679	6144	2891
680	6153	2882
681	6162	2873
682	6171	2864
683	6180	2855
684	6189	2846
685	6197	2836
686	6205	2827
687	6216	2819
688	6224	2809
689	6234	2800
690	6244	2792
691	6254	2783
692	6263	2774
693	6273	2765
694	6282	2756
695	6292	2748
696	6302	2740
697	6312	2731
698	6321	2722
699	6330	2713
700	6340	2704
701	6351	2696
702	6360	2687
703	6368	2677
704	6376	2668
705	6386	2659
706	6396	2651
707	6404	2641
708	6413	2632
709	6421	2622
710	6430	2613
711	6439	2604
712	6448	2595
713	6458	2587
714	6467	2577
715	6476	2569
716	6485	2559
717	6495	2551
718	6504	2541
719	6513	2532
720	6521	2523
721	6530	2514
722	6540	2505
723	6549	2496
724	6558	2487
725	6568	2478
726	6577	2469
727	6585	2460
728	6594	2451
729	6603	2442
730	6612	2433
731	6620	2423
732	6629	2414
733	6638	2405
734	6648	2397
735	6657	2387
736	6665	2378
737	6676	2370
738	6685	2361
739	6694	2352
740	6704	2343
741	6714	2334
742	6723	2325
743	6731	2316
744	6739	2306
745	6749	2297
746	6758	2289
747	6767	2279
748	6779	2271
749	6788	2262
750	6797	2253
751	6807	2244
752	6816	2235
753	6825	2226
754	6833	2217
755	6844	2209
756	6853	2200
757	6861	2190
758	6871	2181
759	6880	2172
760	6890	2164
761	6898	2154
762	6907	2145
763	6917	2136
764	6927	2127
765	6935	2118
766	6944	2109
767	6953	2100
768	6962	2091
769	6971	2082
770	6981	2073
771	6990	2064
772	6999	2055
773	7008	2046
774	7017	2037
775	7027	2028
776	7037	2019
777	7045	2010
778	7054	2001
779	7063	1992
780	7074	1983
781	7083	1974
782	7091	1965
783	7098	1955
784	7107	1946
785	7116	1937
786	7125	1928
787	7135	1919
788	7144	1910
789	7152	1901
790	7161	1892
791	7170	1883
792	7179	1873
793	7186	1864
794	7195	1855
795	7208	1847
796	7219	1838
797	7228	1829
798	7238	1820
799	7248	1812
800	7258	1803
801	7268	1794
802	7276	1785
803	7285	1775
804	7294	1766
805	7305	1758
806	7315	1749
807	7324	1740
808	7332	1731
809	7341	1721
810	7348	1712
811	7358	1703
812	7366	1694
813	7372	1684
814	7381	1675
815	7390	1666
816	7398	1657
817	7408	1648
818	7416	1639
819	7425	1630
820	7434	1620
821	7443	1611
822	7452	1602
823	7459	1593
824	7467	1584
825	7476	1574
826	7484	1565
827	7493	1556
828	7502	1547
829	7510	1538
830	7518	1529
831	7527	1519
832	7535	1510
833	7544	1501
834	7552	1492
835	7561	1483
836	7570	1474
837	7580	1465
838	7588	1456
839	7597	1447
840	7606	1438
841	7615	1428
842	7623	1419
843	7633	1410
844	7641	1401
845	7649	1392
846	7658	1383
847	7666	1374
848	7674	1364
849	7682	1355
850	7691	1346
851	7700	1337
852	7709	1328
853	7717	1319
854	7725	1310
855	7733	1300
856	7742	1291
857	7752	1283
858	7760	1273
859	7768	1264
860	7777	1255
861	7787	1246
862	7796	1237
863	7805	1228
864	7813	1219
865	7821	1210
866	7829	1201
867	7839	1192
868	7848	1183
869	7856	1174
870	7866	1165
871	7876	1156
872	7885	1147
873	7893	1138
874	7904	1129
875	7913	1120
876	7923	1111
877	7932	1102
878	7940	1093
879	7949	1084
880	7958	1075
881	7967	1065
882	7977	1056
883	7986	1048
884	7995	1038
885	8004	1029
886	8016	1021
887	8023	1012
888	8032	1002
889	8040	993
890	8049	984
891	8057	975
892	8066	966
893	8075	957
894	8084	948
895	8093	939
896	8102	930
897	8111	921
898	8120	912
899	8128	903
900	8138	894
901	8148	885
902	8157	876
903	8167	867
904	8176	858
905	8184	849
906	8192	840
907	8202	831
908	8211	822
909	8219	812
910	8228	803
911	8236	794
912	8243	785
913	8251	776
914	8258	767
915	8265	757
916	8275	749
917	8283	739
918	8290	730
919	8296	721
920	8303	712
921	8311	703
922	8320	694
923	8326	684
924	8334	675
925	8342	666
926	8348	657
927	8356	648
928	8363	639
929	8370	630
930	8377	620
931	8384	611
932	8392	602
933	8399	593
934	8406	584
935	8413	575
936	8420	566
937	8428	557
938	8435	547
939	8442	538
940	8450	529
941	8457	520
942	8466	511
943	8473	502
944	8481	493
945	8488	484
946	8495	475
947	8501	466
948	8509	457
949	8516	448
950	8523	439
951	8530	430
952	8537	421
953	8545	412
954	8552	403
955	8560	393
956	8568	384
957	8575	375
958	8586	367
959	8593	358
960	8601	349
961	8608	340
962	8615	331
963	8622	322
964	8630	313
965	8637	304
966	8644	294
967	8651	285
968	8657	276
969	8664	267
970	8672	259
971	8679	250
972	8686	241
973	8695	232
974	8702	223
975	8709	214
976	8716	205
977	8723	196
978	8730	187
979	8736	178
980	8743	169
981	8751	160
982	8758	151
983	8765	142
984	8773	133
985	8780	124
986	8787	115
987	8794	106
988	8801	97
989	8808	88
990	8816	80
991	8823	71
992	8831	62
993	8837	53
994	8844	44
995	8851	35
996	8856	26
997	8862	17
998	8867	8
999	8871	0
85	8
999	8892	0
