iter	Logloss
604	0.3242729693
605	0.3241981889
606	0.3241506352
607	0.3240803816
608	0.3240420266
609	0.3239643568
610	0.3238914245
611	0.3238499827
612	0.3237895408
613	0.3237414678
614	0.3236691924
615	0.3236219114
616	0.3235628762
617	0.3234987148
618	0.323410258
619	0.3233504722
620	0.3232779732
621	0.3232301522
622	0.3231804737
623	0.3231243337
624	0.3230673264
625	0.3230250324
626	0.3229460169
627	0.3228806797
628	0.3228227701
629	0.3227277983
630	0.3226709402
631	0.322507844
632	0.3224446979
633	0.3223805722
634	0.3223298883
635	0.3222672034
636	0.3222102567
637	0.3221288077
638	0.3220938117
639	0.3220089025
640	0.3219609426
641	0.3218962904
642	0.3218114157
643	0.321728062
644	0.3216581969
645	0.3215847156
646	0.3215337828
647	0.3214563715
648	0.3213852759
649	0.3213220064
650	0.3212733068
651	0.321215612
652	0.3211655726
653	0.3211020292
654	0.3210523656
655	0.320984369
656	0.3209304639
657	0.320886655
658	0.3208363037
659	0.3207788893
660	0.3207000496
661	0.3206478737
662	0.3205786365
663	0.320503555
664	0.3204613641
665	0.3204120437
666	0.3203405801
667	0.3202683306
668	0.3202056636
669	0.319983382
670	0.3199136484
671	0.3198232561
672	0.3197740471
673	0.3197176168
674	0.3196557883
675	0.3196122189
676	0.3195550789
677	0.3195257534
678	0.3194630961
679	0.3193995451
680	0.3193463734
681	0.3193057432
682	0.3192503808
683	0.3191916231
684	0.3191133055
685	0.3190424062
686	0.318969702
687	0.3188803731
688	0.3187517485
689	0.3186922136
690	0.3185122892
691	0.3184432872
692	0.3183931311
693	0.3183406053
694	0.3182812436
695	0.31820311
696	0.318140978
697	0.3180967693
698	0.318000175
699	0.3179582954
700	0.3179129018
701	0.3178353835
702	0.317777297
703	0.3177231344
704	0.317659217
705	0.3176019887
706	0.3175320388
707	0.3174607218
708	0.3173863445
709	0.3172721393
710	0.3171995492
711	0.31716653
712	0.3170964243
713	0.3170557611
714	0.3169881048
715	0.3169327808
716	0.3168718223
717	0.3168397241
718	0.3167935861
719	0.3166306041
720	0.3165722673
721	0.3165018287
722	0.3164227128
723	0.3163514505
724	0.3162796988
725	0.3162344286
726	0.3161968178
727	0.3161358098
728	0.3160701712
729	0.3160175232
730	0.3159549109
731	0.3159123138
732	0.3158574743
733	0.3157972363
734	0.3157472179
735	0.3156888063
736	0.3156300584
737	0.3155612744
738	0.3155203607
739	0.3154739838
740	0.315352773
741	0.3153107319
742	0.3152365776
743	0.3151836434
744	0.3151304266
745	0.3150937877
746	0.3150630142
747	0.3150092396
748	0.3149585758
749	0.3148001885
750	0.3147406028
751	0.3145744429
752	0.3145099408
753	0.3144626485
754	0.3144135545
755	0.3143593116
756	0.3143078924
757	0.3142344385
758	0.314174759
759	0.3141109402
760	0.3140392491
761	0.313968916
762	0.3139004978
763	0.313833506
764	0.3137495061
765	0.3137038939
766	0.3136582552
767	0.3136080741
768	0.3135314773
769	0.3134814278
770	0.3134213186
771	0.313363899
772	0.3133239927
773	0.3132614559
774	0.3131964082
775	0.3131447908
776	0.3130972702
777	0.3130514888
778	0.312989458
779	0.3129368501
780	0.3128731476
781	0.3128240898
782	0.3127484589
783	0.3127071501
784	0.3126570486
785	0.3126275177
786	0.3125592334
787	0.3125109544
788	0.3124446685
789	0.3124136822
790	0.3123701521
791	0.3123094612
792	0.312248773
793	0.3122028779
794	0.312170024
795	0.3121038843
796	0.3120583483
797	0.3120061579
798	0.3119581285
799	0.3119081705
800	0.3118428987
801	0.3117702089
802	0.3117168314
803	0.3116418869
804	0.3115727452
805	0.311502226
806	0.3114653451
807	0.3114173337
808	0.3113691353
809	0.3113276767
810	0.3112678715
811	0.3112160634
812	0.3110215074
813	0.310967765
814	0.3109234396
815	0.3108875169
816	0.3108323974
817	0.3107618456
818	0.3107123053
819	0.3106407096
820	0.3106004028
821	0.3105601226
822	0.310501568
823	0.3104430258
824	0.3103764227
825	0.3103305636
826	0.3102536281
827	0.3102036745
828	0.31017178
829	0.3101095865
830	0.3100545854
831	0.3099608146
832	0.3099094007
833	0.3098555907
834	0.3097863561
835	0.3097420218
836	0.3096775626
837	0.3096189957
838	0.3095795609
839	0.3094910549
840	0.3094205031
841	0.3093480518
842	0.3092758457
843	0.3091955908
844	0.3091387441
845	0.3090703855
846	0.3090186467
847	0.3089500163
848	0.3089008198
849	0.3088385861
850	0.3087658253
851	0.3087252332
852	0.3086488111
853	0.3085943722
854	0.308538712
855	0.3084909475
856	0.3084219934
857	0.3083658976
858	0.3083297626
859	0.3082776723
860	0.3081340615
861	0.307983374
862	0.3079431835
863	0.307871183
864	0.3078146877
865	0.3077531063
866	0.3076902303
867	0.3076354131
868	0.3075334721
869	0.3074643338
870	0.3074196291
871	0.3073672244
872	0.3073311218
873	0.3072924451
874	0.3072528778
875	0.3071957967
876	0.3071370094
877	0.3071005074
878	0.3070404609
879	0.3069949254
880	0.3069368933
881	0.3068781568
882	0.3068255971
883	0.3067533725
884	0.306713682
885	0.3066611941
886	0.3066118932
887	0.3065673824
888	0.306513325
889	0.3064532997
890	0.3064085524
891	0.3063498397
892	0.3063112592
893	0.3062552004
894	0.3061825473
895	0.3061515835
896	0.3061039767
897	0.3060499294
898	0.3060099029
899	0.3059627847
900	0.3058988494
901	0.305858945
902	0.305790289
903	0.3057381542
904	0.3056931013
905	0.3056083335
906	0.3055577242
907	0.3055173912
908	0.305462126
909	0.3054175852
910	0.3053539179
911	0.3053239216
912	0.3052583945
913	0.3052123278
914	0.3051454199
915	0.305105369
916	0.3050382456
917	0.3050032027
918	0.3049384214
919	0.3048931475
920	0.3048268292
921	0.3047543794
922	0.3046993931
923	0.3046376336
924	0.3046001268
925	0.3045635175
926	0.3045136371
927	0.304473459
928	0.304399064
929	0.3043311748
930	0.3042973998
931	0.3042314166
932	0.3041744284
933	0.3041230596
934	0.3040519805
935	0.3039947639
936	0.3039278093
937	0.3038794085
938	0.3038177278
939	0.3037564496
940	0.3037154041
941	0.3036675749
942	0.3036075593
943	0.3035546841
944	0.303509093
945	0.3034609056
946	0.3034051049
947	0.3033495076
948	0.3032736535
949	0.3032423102
950	0.3031911216
951	0.3031329128
952	0.3030826857
953	0.303025013
954	0.3029884098
955	0.3029389081
956	0.3029005391
957	0.3028503124
958	0.3027753921
959	0.3026988186
960	0.3026457167
961	0.3026087057
962	0.3025559835
963	0.3024961761
964	0.3024316574
965	0.3023961662
966	0.3023578827
967	0.3023136467
968	0.3022656821
969	0.3022316934
970	0.3021762992
971	0.302110874
972	0.3020555789
973	0.3020161971
974	0.3019789043
975	0.3019141034
976	0.3018475078
977	0.3018184458
978	0.3017711171
979	0.3017287531
980	0.3016684541
981	0.3016066219
982	0.3015592246
983	0.3014979197
984	0.3014522257
985	0.3013900103
986	0.3013579306
987	0.3012212471
988	0.301161659
989	0.3011218716
990	0.3010431048
991	0.3009805621
992	0.3009227956
993	0.3008704453
994	0.3008412045
995	0.3007949218
996	0.3007507496
997	0.3007101579
998	0.3006529942
999	0.3006267487
3903011
003
